i,j,x,r,Ap,Bx,Br,Bmag,distance,theta,zero
1,1,0.0005,0.0005,1e-08,0.00779329,-7.936e-05,0.00779369,0.0372,0.0251327,0
1,2,0.0005,0.0015,6e-08,0.00777983,-0.00028141,0.00778492,0.0372,0.0251327,0
1,3,0.0005,0.0025,1.5e-07,0.00775476,-0.00045994,0.00776839,0.0372,6.25805,0
1,4,0.0005,0.0035,3e-07,0.00772409,-0.00064099,0.00775064,0.0372,6.25805,0
1,5,0.0005,0.0045,4.9e-07,0.00766886,-0.00081422,0.00771196,0.0371,0.0251327,0
1,6,0.0005,0.0055,7.3e-07,0.00762364,-0.00098908,0.00768753,0.0371,0,0
1,7,0.0005,0.0065,1.02e-06,0.00756064,-0.00115961,0.00764905,0.0372,0.0251327,0
1,8,0.0005,0.0075,1.35e-06,0.00747703,-0.00132806,0.00759406,0.0372,6.21407,0
1,9,0.0005,0.0085,1.72e-06,0.00740978,-0.00149095,0.00755829,0.0372,6.25805,0
1,10,0.0005,0.0095,2.14e-06,0.00729376,-0.00164575,0.00747713,0.0373,6.18265,0
1,11,0.0005,0.0105,2.59e-06,0.00719514,-0.00180484,0.00741805,0.0373,6.2015,0
1,12,0.0005,0.0115,3.09e-06,0.00708221,-0.00195682,0.00734757,0.0374,6.18894,0
1,13,0.0005,0.0125,3.62e-06,0.00697028,-0.00209096,0.00727715,0.0377,6.10726,0
1,14,0.0005,0.0135,4.18e-06,0.00682513,-0.00221148,0.00717447,0.0377,6.18265,0
1,15,0.0005,0.0145,4.77e-06,0.00670822,-0.00235363,0.00710913,0.0378,6.11982,0
1,16,0.0005,0.0155,5.4e-06,0.00654639,-0.00247091,0.00699719,0.038,6.14496,0
1,17,0.0005,0.0165,6.05e-06,0.00640759,-0.00257813,0.00690681,0.0382,6.05699,0
1,18,0.0005,0.0175,6.73e-06,0.00625148,-0.00267806,0.00680096,0.0387,6.00044,0
1,19,0.0005,0.0185,7.42e-06,0.00609411,-0.00277828,0.00669754,0.0386,6.08841,0
1,20,0.0005,0.0195,8.14e-06,0.00593892,-0.00286939,0.00659577,0.0388,6.01929,0
1,21,0.0005,0.0205,8.88e-06,0.00577312,-0.00294579,0.00648125,0.039,6.02557,0
1,22,0.0005,0.0215,9.63e-06,0.00561498,-0.00302017,0.00637569,0.0393,6.01301,0
1,23,0.0005,0.0225,1.039e-05,0.00543879,-0.0030785,0.00624961,0.0396,5.96274,0
1,24,0.0005,0.0235,1.117e-05,0.00528494,-0.003139,0.00614686,0.0399,5.94389,0
1,25,0.0005,0.0245,1.195e-05,0.00510993,-0.00319065,0.00602425,0.0402,5.94389,0
1,26,0.0005,0.0255,1.274e-05,0.00494371,-0.0032334,0.00590721,0.0406,5.89991,0
1,27,0.0005,0.0265,1.354e-05,0.00477679,-0.00326954,0.00578858,0.0409,5.95018,0
1,28,0.0005,0.0275,1.433e-05,0.00460163,-0.00329349,0.00565881,0.0412,5.91248,0
1,29,0.0005,0.0285,1.513e-05,0.0044387,-0.00332511,0.00554603,0.0416,5.88106,0
1,30,0.0005,0.0295,1.592e-05,0.00427085,-0.00333791,0.0054205,0.042,5.89363,0
1,31,0.0005,0.0305,1.671e-05,0.00412582,-0.00334398,0.0053108,0.0424,5.87478,0
1,32,0.0005,0.0315,1.75e-05,0.00395553,-0.00334569,0.00518072,0.0428,5.8308,0
1,33,0.0005,0.0325,1.828e-05,0.00379822,-0.00334927,0.005064,0.0433,5.79938,0
1,34,0.0005,0.0335,1.905e-05,0.00363572,-0.00333496,0.0049336,0.0437,5.7931,0
1,35,0.0005,0.0345,1.981e-05,0.00348592,-0.00332582,0.00481796,0.0442,5.81195,0
1,36,0.0005,0.0355,2.056e-05,0.00334085,-0.00331487,0.00470634,0.0447,5.80566,0
1,37,0.0005,0.0365,2.13e-05,0.00319926,-0.00329584,0.00459324,0.0452,5.7931,0
1,38,0.0005,0.0375,2.202e-05,0.00304903,-0.00327173,0.00447223,0.0458,5.70513,0
1,39,0.0005,0.0385,2.274e-05,0.00291951,-0.00324562,0.0043655,0.0462,5.76168,0
1,40,0.0005,0.0395,2.343e-05,0.00278399,-0.00321544,0.00425319,0.0467,5.70513,0
1,41,0.0005,0.0405,2.412e-05,0.00264947,-0.0031797,0.00413886,0.0473,5.67372,0
1,42,0.0005,0.0415,2.478e-05,0.00252506,-0.00313947,0.00402892,0.0479,5.65487,0
1,43,0.0005,0.0425,2.543e-05,0.00240508,-0.0031007,0.00392412,0.0484,5.70513,0
1,44,0.0005,0.0435,2.607e-05,0.00228838,-0.00305985,0.00382091,0.0489,5.68,0
1,45,0.0005,0.0445,2.669e-05,0.00217414,-0.00302049,0.00372159,0.0495,5.66743,0
1,46,0.0005,0.0455,2.728e-05,0.00206514,-0.0029723,0.00361931,0.0501,5.65487,0
1,47,0.0005,0.0465,2.786e-05,0.0019571,-0.00292882,0.00352253,0.0507,5.6423,0
1,48,0.0005,0.0475,2.843e-05,0.00185469,-0.00288049,0.00342594,0.0513,5.62345,0
1,49,0.0005,0.0485,2.897e-05,0.00176123,-0.00282993,0.00333323,0.0521,5.5669,0
1,50,0.0005,0.0495,2.95e-05,0.00166518,-0.00278458,0.00324449,0.0526,5.6046,0
1,51,0.0005,0.0505,3.001e-05,0.00157499,-0.0027339,0.00315512,0.0532,5.5669,0
1,52,0.0005,0.0515,3.05e-05,0.00148979,-0.00268435,0.00307005,0.0539,5.54805,0
1,53,0.0005,0.0525,3.097e-05,0.00140377,-0.00262706,0.00297859,0.0545,5.55434,0
1,54,0.0005,0.0535,3.142e-05,0.00132334,-0.00257585,0.0028959,0.0552,5.54805,0
1,55,0.0005,0.0545,3.186e-05,0.00124756,-0.0025256,0.00281692,0.0559,5.55434,0
1,56,0.0005,0.0555,3.228e-05,0.0011781,-0.00247682,0.00274273,0.0567,5.4915,0
1,57,0.0005,0.0565,3.268e-05,0.00110154,-0.00242452,0.00266302,0.0573,5.53549,0
1,58,0.0005,0.0575,3.306e-05,0.0010391,-0.00237313,0.00259065,0.0583,5.55434,0
1,59,0.0005,0.0585,3.343e-05,0.00097355,-0.00231819,0.00251432,0.0587,5.47265,0
1,60,0.0005,0.0595,3.378e-05,0.00091478,-0.00226555,0.00244326,0.0594,5.46637,0
1,61,0.0005,0.0605,3.411e-05,0.00085627,-0.00221833,0.00237785,0.0601,5.4915,0
1,62,0.0005,0.0615,3.443e-05,0.00080318,-0.00216946,0.00231336,0.0608,5.47265,0
1,63,0.0005,0.0625,3.473e-05,0.00075189,-0.00211776,0.00224728,0.0616,5.47894,0
1,64,0.0005,0.0635,3.502e-05,0.00069871,-0.00206674,0.00218165,0.0623,5.43496,0
1,65,0.0005,0.0645,3.529e-05,0.00065235,-0.00202112,0.00212379,0.063,5.43496,0
1,66,0.0005,0.0655,3.555e-05,0.00060631,-0.00197207,0.00206317,0.0638,5.44752,0
1,67,0.0005,0.0665,3.579e-05,0.00056421,-0.00192691,0.00200781,0.0653,5.35956,0
1,68,0.0005,0.0675,3.602e-05,0.00052277,-0.00187933,0.00195068,0.0654,5.44124,0
